func,prob,total_time,best_obj,best_bound,gap,preprocess_time,solution_time,callback_time,subproblem_time,callback_calls,num_separations,bb_nodes,num_variables,num_constraints,dp_num_nodes,dp_num_arcs,dp_num_paths,dp_unique_arcs,dp_unique_paths
dpA_w005,mcp2-n080-r10-01,177.7101960555482,3442.5001499999958,3442.693197975643,5.607784088185441e-5,4.139139928,173.57105612754822,172.8695958229999,172.774647238,265,256,889,221,196,93,303,261.0,,
dpA_w005,mcp2-n080-r10-02,83.19451640843273,3575.0001500000017,3575.0001500000017,0.0,3.758884418,79.43563199043274,79.09657742400002,79.05511290300001,128,122,440,219,193,91,163,127.0,,
dpA_w005,mcp2-n080-r10-03,91.42590811601697,3088.0001,3088.0001,0.0,4.217950133,87.20795798301697,86.859534648,86.80051781800003,181,174,208,219,190,91,213,179.0,,
dpA_w005,mcp2-n080-r10-04,178.12700775828822,4317.0001,4317.0001,0.0,2.575660741,175.5513470172882,174.237441347,174.03733013700003,308,301,1003,221,193,93,344,306.0,,
dpA_w005,mcp2-n080-r10-05,178.1996789586848,4471.0002,4471.0002,0.0,2.355157913,175.84452104568481,168.72841534,168.62777687200003,279,271,11038,215,194,87,314,302.0,,
dpA_w005,mcp2-n080-r12-01,73.99894863087977,3395.000199999999,3395.000199999999,0.0,3.059458551,70.93949007987976,70.05084723699997,69.98988876699995,181,178,837,215,177,87,218,190.0,,
dpA_w005,mcp2-n080-r12-02,29.260309270327028,3427.0001,3427.0001,0.0,1.536147407,27.724161863327026,27.547335667999995,27.522726788,85,81,91,219,178,91,120,86.0,,
dpA_w005,mcp2-n080-r12-03,122.17675976459448,2792.000100000001,2792.000100000001,0.0,3.032133624,119.14462614059448,118.71422482899999,118.54402831,233,223,494,215,175,87,262,230.0,,
dpA_w005,mcp2-n080-r12-04,75.78947565310949,2733.0001666666667,2733.0001666666667,0.0,3.825002644,71.9644730091095,71.548904825,71.484480602,198,191,561,219,177,91,229,196.0,,
dpA_w005,mcp2-n080-r12-05,124.4957632279253,2955.0001999999968,2955.0001999999968,0.0,4.530222342,119.9655408859253,117.41694445799997,117.33909400799998,231,220,2992,217,177,89,263,225.0,,
