func,prob,total_time,best_obj,best_bound,gap,preprocess_time,solution_time,callback_time,subproblem_time,callback_calls,num_separations,bb_nodes,num_variables,num_constraints,dp_num_nodes,dp_num_arcs,dp_num_paths,dp_unique_arcs,dp_unique_paths
dp_w05,kpp3-n40-01,109.08954539206897,420.00060000000025,420.030684396487,7.162941311692588e-5,0.115145587,108.97439980506897,,,,1550,68808,177,63,96,1724,5167.0,,
dp_w05,kpp3-n40-02,20.19598674264209,419.5005249999998,419.5358142857143,8.412214910695995e-5,0.189174647,20.00681209564209,,,,735,23379,177,63,96,846,1232.0,,
dp_w05,kpp3-n40-03,300.37743343053086,426.00069999999937,426.02511984814225,5.732349299633528e-5,0.148446452,300.2289869785309,,,,2070,188794,177,63,96,2225,3247.0,,
dp_w05,kpp3-n40-04,87.43196389370861,309.75071249999996,309.77787777777866,8.770045292048392e-5,0.180763933,87.25119996070862,,,,1276,48860,177,63,96,1383,1676.0,,
dp_w05,kpp3-n40-05,81.10117513231006,434.14348571428565,434.1760665337979,7.504620150787993e-5,0.083018127,81.01815700531006,,,,1271,74328,177,63,96,1391,2129.0,,
dp_w05,kpp3-n41-01,918.8984958256113,367.8116711111106,367.8480782635467,9.898313538040438e-5,0.110146674,918.7883491516113,,,,2646,365213,185,66,101,2877,11074.0,,
dp_w05,kpp3-n41-02,34.9476374633938,469.5008499999997,469.5255590603019,5.262836116739774e-5,0.188508416,34.7591290473938,,,,1688,16804,185,66,101,1838,2630.0,,
dp_w05,kpp3-n41-03,56.9713357200625,466.2149214285707,466.24144096385356,5.688263945226376e-5,0.124045681,56.8472900390625,,,,1321,33145,185,66,101,1464,1858.0,,
dp_w05,kpp3-n41-04,805.8458078497756,532.700599999999,532.751723264739,9.596997776987558e-5,0.151873886,805.6939339637756,,,,2403,423039,185,66,101,2626,5035.0,,
dp_w05,kpp3-n41-05,67.51057347719006,321.6671833333324,321.6979536005429,9.56587081456853e-5,0.082659573,67.42791390419006,,,,1571,50039,185,66,101,1736,5130.0,,
dp_w05,kpp3-n42-01,82.04083239630945,400.6908571428562,400.72951605093147,9.648063434968766e-5,0.109475251,81.93135714530945,,,,1806,51925,186,66,101,2044,5329.0,,
dp_w05,kpp3-n42-02,521.5407211037955,340.0838999999995,340.11390537726396,8.822933771473649e-5,0.134299204,521.4064218997955,,,,3947,177836,186,66,101,4191,7872.0,,
dp_w05,kpp3-n42-03,143.4545658516051,462.00076666666655,462.0321448417267,6.79180151291088e-5,0.139465897,143.3150999546051,,,,1702,104547,186,66,101,1898,3777.0,,
dp_w05,kpp3-n42-04,20.773038197949585,432.00054999999907,432.0423333110343,9.67205042569053e-5,0.138019134,20.635019063949585,,,,1006,16449,186,66,101,1154,1852.0,,
dp_w05,kpp3-n42-05,248.86930988813012,405.83400000000006,405.866192028985,7.932314440121607e-5,0.115532861,248.75377702713013,,,,1865,149854,186,66,101,2085,4135.0,,
dp_w05,kpp3-n43-01,449.715465727204,327.6672333333355,327.6972469696958,9.159791796995429e-5,0.11906189,449.596403837204,,,,2981,206559,194,69,106,3306,8827.0,,
dp_w05,kpp3-n43-02,379.34346353932557,346.00072499999834,346.03497970901276,9.900184172856739e-5,0.14012134,379.20334219932556,,,,2676,156953,194,69,106,2975,9452.0,,
dp_w05,kpp3-n43-03,1280.796741255802,488.0007999999991,488.04839688311756,9.753443666167075e-5,0.085475215,1280.711266040802,,,,4814,310800,194,69,106,5287,26994.0,,
dp_w05,kpp3-n43-04,2844.419773768385,423.5007499999997,423.5430428571427,9.986489313897274e-5,0.11564083,2844.304132938385,,,,4359,967454,194,69,106,4718,15107.0,,
dp_w05,kpp3-n43-05,1923.6350635553981,491.00069999999977,491.04882846329497,9.802117042847338e-5,0.096460488,1923.538603067398,,,,4959,490696,194,69,106,5371,21905.0,,
dp_w05,kpp3-n44-01,197.9677800127113,507.0011999999985,507.0458931259412,8.815191353131329e-5,0.088566918,197.8792130947113,,,,2081,99986,195,69,106,2250,3561.0,,
dp_w05,kpp3-n44-02,3600.0005662896147,544.0006500000001,605.6173549645365,0.11326586643699127,0.171232269,3599.8293340206146,,,,6421,532795,195,69,106,6924,47670.0,,
dp_w05,kpp3-n44-03,373.3086907254979,431.7005400000003,431.7325743389944,7.420500098089127e-5,0.102833687,373.2058570384979,,,,2928,153489,195,69,106,3241,10950.0,,
dp_w05,kpp3-n44-04,1088.1543986578629,397.50094999999953,397.53922500000067,9.628907805411695e-5,0.077381589,1088.077017068863,,,,3544,427137,195,69,106,3795,7761.0,,
dp_w05,kpp3-n44-05,122.7904614839132,447.00069999999903,447.02218909796653,4.8073969386408925e-5,0.084573451,122.70588803291321,,,,2156,48371,195,69,106,2384,5134.0,,
dp_w05,kpp3-n45-01,3600.001948639093,378.35068499999943,422.4894122372846,0.11666088892447826,0.1271656,3599.874783039093,,,,3367,863017,203,72,111,3808,26895.0,,
dp_w05,kpp3-n45-02,2961.0494981396164,611.8339666666665,611.8950447848621,9.982792967243992e-5,0.080421983,2960.969076156616,,,,4218,660251,203,72,111,4592,12600.0,,
dp_w05,kpp3-n45-03,3098.9631305750413,423.7005300000006,423.7427383550713,9.961836741324589e-5,0.075710636,3098.887419939041,,,,5424,665012,203,72,111,5892,23039.0,,
dp_w05,kpp3-n45-04,1206.0671102035758,416.5006800000007,416.5406243290957,9.590459514967597e-5,0.129341029,1205.9377691745758,,,,4032,408459,203,72,111,4415,16730.0,,
dp_w05,kpp3-n45-05,615.9391538765916,478.000766666667,478.04514700000095,9.284573672011696e-5,0.082260814,615.8568930625916,,,,1843,392557,203,72,111,2086,4889.0,,
dp_w05,kpp3-n46-01,3600.001037073752,431.5006000000002,506.4866594151475,0.17377973382921671,0.104407025,3599.896630048752,,,,5205,534843,204,72,111,5667,30711.0,,
dp_w05,kpp3-n46-02,3295.5857091678063,400.5008400000019,400.54060536315797,9.928908802301134e-5,0.084985329,3295.500723838806,,,,4660,871983,204,72,111,5136,15964.0,,
dp_w05,kpp3-n46-03,530.6172555074536,561.0006999999994,561.0558449999995,9.829756005679206e-5,0.123224555,530.4940309524536,,,,2048,297196,204,72,111,2385,8405.0,,
dp_w05,kpp3-n46-04,302.18102837320396,432.0006749999998,432.0428169236493,9.755059676590548e-5,0.158843286,302.022185087204,,,,2171,167388,204,72,111,2486,6332.0,,
