func,prob,total_time,best_obj,best_bound,gap,preprocess_time,solution_time,callback_time,subproblem_time,callback_calls,num_separations,bb_nodes,num_variables,num_constraints,dp_num_nodes,dp_num_arcs,dp_num_paths,dp_unique_arcs,dp_unique_paths
dpA_w005,kpp3-n40-01,94.03085755609314,420.00060000000076,420.0387667785224,9.087315237563072e-5,0.05863642,93.97222113609314,1.1842952269999996,0.6941409880000002,1723,1711,60386,177,164,95,1907,6303.0,,
dpA_w005,kpp3-n40-02,16.02823229683423,419.5005181818198,419.5196479649597,4.560133375468921e-5,0.120652398,15.907579898834229,0.41822810799999993,0.29341667799999976,663,658,14347,176,164,94,816,3082.0,,
dpA_w005,kpp3-n40-03,288.1390424024989,426.00069999999914,426.03184517241374,7.311061323278779e-5,0.042352463,288.0966899394989,1.4785948330000003,1.0225578690000001,1877,1865,135058,175,164,93,2046,13043.0,,
dpA_w005,kpp3-n40-04,15.690022508616089,309.750712499999,309.75366014262255,9.516177056584824e-6,0.037134449,15.652888059616089,0.6016784459999999,0.3908859210000001,872,864,16236,172,164,90,1012,3598.0,,
dpA_w005,kpp3-n40-05,35.32249725816797,434.14348571428513,434.18601428571475,9.795971338748198e-5,0.036738286,35.28575897216797,0.661102921,0.459198165,978,970,34626,177,164,95,1136,5073.0,,
dpA_w005,kpp3-n41-01,362.2888525000828,367.8116711111105,367.84627938229244,9.409236818771013e-5,0.065666484,362.22318601608276,1.8172026789999995,1.2386993770000017,2060,2052,192234,183,172,98,2321,27133.0,,
dpA_w005,kpp3-n41-02,35.638641842507205,469.50084999999905,469.54222449997945,8.812444105352896e-5,0.048973807,35.5896680355072,0.8916835990000005,0.5237568799999996,1260,1252,17213,182,172,97,1468,36721.0,,
dpA_w005,kpp3-n41-03,32.90321619191882,466.21492142857085,466.25702450980367,9.030830910304674e-5,0.035488197,32.86772799491882,0.9155999490000011,0.6110026140000002,1312,1301,18337,182,172,97,1512,15049.0,,
dpA_w005,kpp3-n41-04,234.36270403370557,532.700599999999,532.7529208602151,9.821813644686656e-5,0.025972123,234.33673191070557,1.7855601659999976,1.1796793780000032,2364,2357,95830,180,172,95,2617,62806.0,,
dpA_w005,kpp3-n41-05,70.95706299447656,321.66718333333245,321.6961518573087,9.005744283902594e-5,0.037247931,70.91981506347656,0.9635800740000007,0.6388201119999998,1355,1345,42863,181,172,96,1577,54522.0,,
