func,prob,total_time,best_obj,best_bound,gap,preprocess_time,solution_time,callback_time,subproblem_time,callback_calls,num_separations,bb_nodes,num_variables,num_constraints,dp_num_nodes,dp_num_arcs,dp_num_paths,dp_unique_arcs,dp_unique_paths
dpB_w050,mcp4-n070-r08-01,71.67911600846851,4283.000133333329,4283.000133333329,0.0,3.434355972,68.2447600364685,67.518182986,66.88268974300006,170,163,493,807,895,695,908,217.0,908,217
dpB_w050,mcp4-n070-r08-02,25.046526620815552,4517.500149999997,4517.500149999997,0.0,3.330178688,21.71634793281555,21.315057976,21.135572857,53,50,201,791,878,679,777,100.0,777,100
dpB_w050,mcp4-n070-r08-03,88.0265830385824,3691.0002,3691.0002,0.0,3.383797251,84.6427857875824,77.32260607399998,76.83342967900003,149,140,4426,787,875,675,865,194.0,865,194
dpB_w050,mcp4-n070-r08-04,56.96978040074268,4690.000099999999,4690.000099999998,0.0,2.519679502,54.450100898742676,53.904420699,53.49746711400001,114,107,268,789,877,677,833,159.0,833,159
dpB_w050,mcp4-n070-r08-05,100.82344791733618,3845.000100000005,3845.000100000005,0.0,3.654710029,97.16873788833618,91.28337341599998,90.464945766,213,204,5485,815,903,703,957,258.0,957,258
dpB_w050,mcp4-n070-r08-06,55.353519004596066,4825.000150000002,4825.000150000002,0.0,3.307431978,52.04608702659607,51.386679832,50.86452541400001,118,111,220,798,886,686,847,165.0,847,165
dpB_w050,mcp4-n070-r08-07,23.037301192723756,3732.0001000000098,3732.0001000000098,0.0,3.891277204,19.146023988723755,18.643462351,18.462999080999996,48,44,202,795,883,683,776,96.0,776,96
dpB_w050,mcp4-n070-r08-08,110.07537235145264,4167.0001,4167.0001,0.0,3.767096175,106.30827617645264,103.96589233900004,103.25914759100003,187,178,1187,797,884,685,911,228.0,911,228
dpB_w050,mcp4-n070-r08-09,174.5751819823385,4190.0001,4190.0001,0.0,3.225042126,171.3501398563385,168.4844530239999,167.41673795199995,290,278,2518,797,886,685,1013,332.0,1013,332
dpB_w050,mcp4-n070-r08-10,47.15353686888977,4291.0001000000075,4291.0001000000075,0.0,3.036622835,44.11691403388977,43.633507748,43.178947613000005,128,120,243,793,882,681,851,174.0,851,174
dpB_w050,mcp4-n070-r10-01,32.411663690295654,3716.000200000001,3716.000200000001,0.0,1.867764631,30.543899059295654,28.102877299000003,27.649660796000006,110,106,2300,773,843,661,817,163.0,817,163
dpB_w050,mcp4-n070-r10-02,59.35999210291577,3023.000150000001,3023.000150000001,0.0,2.561029033,56.79896306991577,54.95613273199997,54.208531907,170,160,1126,799,868,687,895,210.0,895,210
dpB_w050,mcp4-n070-r10-03,57.323873351769045,3403.000100000002,3403.000100000002,0.0,2.776362251,54.54751110076904,52.667780056,51.85746664800002,206,195,1143,799,868,687,932,249.0,932,249
