func,prob,total_time,best_obj,best_bound,gap,preprocess_time,solution_time,callback_time,subproblem_time,callback_calls,num_separations,bb_nodes,num_variables,num_constraints,dp_num_nodes,dp_num_arcs,dp_num_paths,dp_unique_arcs,dp_unique_paths
dd_w050_l020,mcp4-n070-r08-01,69.09833668911548,4283.000133333331,4283.000133333331,0.0,3.371115677,65.72722101211548,65.04968201499999,64.36602798399998,175,168,404,805,892,693,909,218.0,909,218
dd_w050_l020,mcp4-n070-r08-02,132.3260535602705,4517.500150000001,4517.500150000002,0.0,3.278230608,129.0478229522705,125.55275495000005,124.60369078700006,242,234,3166,783,870,671,954,288.0,954,288
dd_w050_l020,mcp4-n070-r08-03,63.5759039604779,3691.0001999999945,3691.0001999999945,0.0,3.27567608,60.300227880477905,56.81817534700001,56.36185113399999,130,126,2565,800,888,688,865,184.0,864,181
dd_w050_l020,mcp4-n070-r08-04,52.925881145619016,4690.000100000001,4690.000100000001,0.0,2.489166258,50.43671488761902,50.03196313800001,49.695055649000004,100,95,197,779,866,667,810,145.0,810,145
dd_w050_l020,mcp4-n070-r08-05,91.06245852071093,3845.0001000000047,3845.0001000000047,0.0,3.676731592,87.38572692871094,82.11457736699998,81.39695526899993,218,210,4998,812,900,700,960,265.0,960,265
dd_w050_l020,mcp4-n070-r08-06,57.756868589940915,4825.000149999999,4825.000149999999,0.0,3.211829413,54.54503917694092,54.08500900000001,53.72982554199999,102,96,201,786,874,674,819,148.0,819,148
dd_w050_l020,mcp4-n070-r08-07,68.09569677417859,3732.000100000001,3732.000100000001,0.0,3.809385863,64.28631091117859,63.39890575400002,62.94063722000002,144,133,683,791,879,679,862,187.0,862,187
dd_w050_l020,mcp4-n070-r08-08,53.81273367808447,4167.0001,4167.0001,0.0,3.684398679,50.12833499908447,49.55452576400002,49.16828578099999,120,111,304,800,887,688,847,161.0,847,161
dd_w050_l020,mcp4-n070-r08-09,110.30926769291162,4190.0000999999975,4190.0000999999975,0.0,3.241168671,107.06809902191162,105.36651346100003,104.60171933100004,227,214,1197,810,898,698,962,268.0,962,268
dd_w050_l020,mcp4-n070-r08-10,72.30028345377491,4291.0001,4291.0001,0.0,2.980040572,69.3202428817749,65.64120393600003,64.98582069600002,203,194,3841,810,897,698,940,244.0,940,244
dd_w050_l020,mcp4-n070-r10-01,37.06080339833301,3716.0002000000027,3716.0002000000027,0.0,1.898112282,35.16269111633301,30.353116597000014,29.899213916,111,108,5255,784,853,672,828,158.0,828,158
dd_w050_l020,mcp4-n070-r10-02,38.259258918271115,3023.0001499999994,3023.0001499999994,0.0,2.667604856,35.59165406227112,34.722201408000004,34.217286409,115,111,744,821,892,709,870,165.0,870,165
