func,prob,total_time,best_obj,best_bound,gap,preprocess_time,solution_time,callback_time,subproblem_time,callback_calls,num_separations,bb_nodes,num_variables,num_constraints,dp_num_nodes,dp_num_arcs,dp_num_paths,dp_unique_arcs,dp_unique_paths
vf,mcp5-n070-r04-e35-s10-j23-p28-m23-01,10.215648941678833,6370.000099999999,6370.000099999999,0.0,0.241297774,9.974351167678833,9.851351843,9.849649324999998,122,115,170,112,237,,,,,
vf,mcp5-n070-r04-e35-s10-j23-p28-m23-02,4.572174524298096,3713.0000999999997,3713.0000999999997,0.0,0.84709165,3.7250828742980957,3.612274256,3.6118326300000003,31,27,111,112,237,,,,,
vf,mcp5-n070-r04-e35-s10-j23-p28-m23-03,7.375786062013916,6726.000099999999,6726.000099999999,0.0,0.582296129,6.793489933013916,6.74662793,6.746022561999999,41,38,1,112,237,,,,,
vf,mcp5-n070-r04-e35-s10-j23-p28-m23-04,10.150323287406739,8163.000199999997,8163.000199999997,0.0,0.334240333,9.816082954406738,9.542789008999998,9.541495707,89,82,581,112,237,,,,,
vf,mcp5-n070-r04-e35-s10-j23-p28-m23-05,3.891522856572876,5454.000099999999,5454.000099999999,0.0,0.399689885,3.491832971572876,3.403273939,3.4026874649999996,27,24,1,112,237,,,,,
vf,mcp5-n070-r04-e35-s10-j23-p28-m23-06,2.6510784008094483,4057.5001999999995,4057.5001999999995,0.0,0.212885318,2.4381930828094482,2.34696211,2.346543552,30,26,63,112,237,,,,,
vf,mcp5-n070-r04-e35-s10-j23-p28-m23-07,3.2069681018692626,3597.0000999999993,3597.0000999999993,0.0,0.879576239,2.3273918628692627,2.1614436849999996,2.16108033,27,22,7,112,237,,,,,
vf,mcp5-n070-r04-e35-s10-j23-p28-m23-08,8.103393364131836,6307.000099999999,6307.000099999999,0.0,1.305795479,6.797597885131836,6.696206042999999,6.695207467,38,33,11,112,237,,,,,
vf,mcp5-n070-r04-e35-s10-j23-p28-m23-09,6.085460623465576,5800.000100000001,5800.000100000001,0.0,0.503433665,5.582026958465576,5.3639585379999986,5.363007415,56,49,513,112,237,,,,,
vf,mcp5-n070-r04-e35-s10-j23-p28-m23-10,10.04653954131604,3238.0000999999993,3238.0000999999993,0.0,1.468759533,8.57778000831604,8.426531513000002,8.425737484,62,54,153,112,237,,,,,
