func,prob,total_time,best_obj,best_bound,gap,preprocess_time,solution_time,callback_time,subproblem_time,callback_calls,num_separations,bb_nodes,num_variables,num_constraints,dp_num_nodes,dp_num_arcs,dp_num_paths,dp_unique_arcs,dp_unique_paths
vf,mcp5-n070-r04-e35-s10-j23-p28-m23-01,1283.7949145329087,11620.833466666667,11620.833466666667,0.0,7.325095464,1276.4698190689087,1271.9747759169993,1271.9570221049999,401,387,2574,112,237,,,,,
vf,mcp5-n070-r04-e35-s10-j23-p28-m23-02,1093.9928673506727,9519.000099999997,9519.000099999997,0.0,7.75739038,1086.2354769706726,1080.5221452730004,1080.5071553389998,352,341,4818,112,237,,,,,
vf,mcp5-n070-r04-e35-s10-j23-p28-m23-03,895.45706727284,11218.800180000006,11218.800180000006,0.0,6.550193093,888.9068741798401,880.173199934,880.1595506029997,342,329,6883,112,237,,,,,
vf,mcp5-n070-r04-e35-s10-j23-p28-m23-04,721.3959597193459,11089.000100000003,11089.000100000003,0.0,7.801314696,713.594645023346,703.3162449260002,703.3053125109999,275,261,7656,112,237,,,,,
vf,mcp5-n070-r04-e35-s10-j23-p28-m23-05,1008.1632568044027,8470.0002,8470.0002,0.0,7.918099801,1000.2451570034027,991.2179425189994,991.2038030079993,342,325,7023,112,237,,,,,
vf,mcp5-n070-r04-e35-s10-j23-p28-m23-06,822.1278781877076,9481.800160000003,9481.800160000003,0.0,9.36690235,812.7609758377075,797.045534995,797.036387385,215,204,13086,112,237,,,,,
vf,mcp5-n070-r04-e35-s10-j23-p28-m23-07,823.8319686851676,11095.931979545458,11095.931979545458,0.0,5.955711504,817.8762571811676,814.1913804480007,814.1760816520004,368,357,1944,112,237,,,,,
vf,mcp5-n070-r04-e35-s10-j23-p28-m23-08,526.9296853256765,9877.000100000001,9877.000100000001,0.0,7.955095501,518.9745898246765,514.1341330989999,514.1250013419999,231,224,3952,112,237,,,,,
vf,mcp5-n070-r04-e35-s10-j23-p28-m23-09,1172.0016670025957,8843.000100000001,8843.000100000001,0.0,7.853363017,1164.1483039855957,1160.7504350390006,1160.7357139510002,340,324,1941,112,237,,,,,
vf,mcp5-n070-r04-e35-s10-j23-p28-m23-10,983.7484609382066,9895.222355555554,9895.500099999997,2.806853999473123e-5,6.758200814,976.9902601242065,971.550403448,971.535460914,358,344,4605,112,237,,,,,
vf,mcp5-n070-r08-e35-s10-j23-p28-m23-01,80.16433536718812,4907.0002,4907.0002,0.0,2.174337265,77.98999810218811,72.87173285000004,72.86695284400005,182,174,6033,112,150,,,,,
vf,mcp5-n070-r08-e35-s10-j23-p28-m23-02,42.80586368273645,4231.000099999999,4231.000099999999,0.0,3.871980731,38.93388295173645,38.746004869,38.74211213700001,122,116,314,112,150,,,,,
vf,mcp5-n070-r08-e35-s10-j23-p28-m23-03,25.836401821706907,4710.0001,4710.0001,0.0,2.552850844,23.28355097770691,23.164709425999995,23.163103263,64,62,135,112,150,,,,,
vf,mcp5-n070-r08-e35-s10-j23-p28-m23-04,58.822402903803955,3713.1429999999955,3713.1429999999955,0.0,3.608767936,55.213634967803955,54.853756754999985,54.85022758100001,135,129,947,112,150,,,,,
vf,mcp5-n070-r08-e35-s10-j23-p28-m23-05,81.10526800577954,3867.0000999999997,3867.0000999999997,0.0,3.463236813,77.64203119277954,77.426462146,77.42003013900003,192,184,302,112,150,,,,,
vf,mcp5-n070-r08-e35-s10-j23-p28-m23-06,65.29288399759423,4887.333466666669,4887.333466666669,0.0,2.747430926,62.54545307159424,56.93350383200001,56.92870352699998,147,142,6928,112,150,,,,,
vf,mcp5-n070-r08-e35-s10-j23-p28-m23-07,26.24867124101282,4798.0001,4798.0001,0.0,2.925874181,23.322797060012817,23.202446883,23.200592984999997,66,63,104,112,150,,,,,
vf,mcp5-n070-r08-e35-s10-j23-p28-m23-08,72.1668150885337,4247.000100000002,4247.000100000002,0.0,3.780736254,68.38607883453369,68.20682866100002,68.202204903,139,136,243,112,150,,,,,
vf,mcp5-n070-r08-e35-s10-j23-p28-m23-09,64.67957151417066,3454.0001000000007,3454.0001000000007,0.0,4.174002533,60.505568981170654,60.24984782499999,60.245157695999985,154,146,595,112,150,,,,,
vf,mcp5-n070-r08-e35-s10-j23-p28-m23-10,119.36192416296167,4503.000099999999,4503.000099999999,0.0,3.826627246,115.53529691696167,114.19672253400002,114.191136624,191,184,761,112,150,,,,,
vf,mcp5-n070-r12-e05-s10-j23-p28-m23-01,14.34507801038965,2401.0002,2401.0002,0.0,0.832438011,13.512639999389648,13.402204832000002,13.399685667999998,74,71,365,112,121,,,,,
vf,mcp5-n070-r12-e05-s10-j23-p28-m23-02,34.61753000051099,2305.0002000000018,2305.0002000000018,0.0,0.864702833,33.752827167510986,31.690228687999994,31.684006554999993,179,173,2690,112,121,,,,,
vf,mcp5-n070-r12-e05-s10-j23-p28-m23-03,20.294764523844115,1882.0001000000002,1882.0001000000002,0.0,1.586495643,18.708268880844116,18.600492999,18.596980411999997,98,91,159,112,121,,,,,
vf,mcp5-n070-r12-e05-s10-j23-p28-m23-04,27.756085669739747,1945.0001,1945.0001,0.0,1.248014724,26.508070945739746,26.388253324000004,26.383270480999986,145,137,269,112,121,,,,,
vf,mcp5-n070-r12-e05-s10-j23-p28-m23-05,51.99596306705578,1614.0001333333312,1614.0001333333312,0.0,2.330033988,49.665929079055786,48.097919334000004,48.090296742,221,210,1482,112,121,,,,,
vf,mcp5-n070-r12-e05-s10-j23-p28-m23-06,24.189327270601073,2435.0000999999993,2435.0000999999993,0.0,1.240075142,22.949252128601074,22.790112568999998,22.785595298999997,131,125,428,112,121,,,,,
vf,mcp5-n070-r12-e05-s10-j23-p28-m23-07,21.52521908946509,2220.0001,2220.0001,0.0,0.735288269,20.789930820465088,20.693007501000004,20.688340021,140,134,150,112,121,,,,,
vf,mcp5-n070-r12-e05-s10-j23-p28-m23-08,37.99649712605017,1951.5910727272724,1951.5910727272724,0.0,0.980689259,37.01580786705017,36.460073316000006,36.453590024,201,192,612,112,121,,,,,
vf,mcp5-n070-r12-e05-s10-j23-p28-m23-09,20.8894699139375,1862.000100000001,1862.000100000001,0.0,1.596134953,19.2933349609375,19.195365048,19.19180565699999,107,98,93,112,121,,,,,
