func,prob,total_time,best_obj,best_bound,gap,preprocess_time,solution_time,callback_time,subproblem_time,callback_calls,num_separations,bb_nodes,num_variables,num_constraints,dp_num_nodes,dp_num_arcs,dp_num_paths,dp_unique_arcs,dp_unique_paths
vf,kpp5-n40-r35-d25-m20-01,0.13093263861157226,681.0007000000007,681.0007000000007,0.0,0.012941668,0.11799097061157227,0.04449844400000004,0.04281885099999999,154,142,234,70,45,,,,,
vf,kpp5-n40-r35-d25-m20-02,0.39283840404992676,403.76956923076904,403.76956923076904,0.0,0.068000481,0.32483792304992676,0.03765998700000001,0.03603686899999998,124,113,1456,70,45,,,,,
vf,kpp5-n40-r35-d25-m20-03,0.4147162593258057,520.0005000000006,520.0005000000006,0.0,0.037982241,0.37673401832580566,0.07825806099999998,0.07525781800000002,235,223,1423,70,45,,,,,
vf,kpp5-n40-r35-d25-m20-04,0.29552462123413087,472.0007000000006,472.0234325581397,4.816212802029464e-5,0.0518327,0.24369192123413086,0.06480409000000002,0.036866041000000016,138,131,1063,70,45,,,,,
vf,kpp5-n40-r35-d25-m20-05,0.3764620953625488,575.3338666666668,575.3518412087911,3.1241933016122805e-5,0.047814005,0.32864809036254883,0.052291890000000014,0.049987297000000014,195,185,1495,70,45,,,,,
vf,kpp5-n40-r35-d25-m20-06,0.26704683871643065,479.8755750000007,479.8755750000007,0.0,0.02980867,0.23723816871643066,0.06861316800000002,0.06610990100000001,226,215,694,70,45,,,,,
vf,kpp5-n40-r35-d25-m20-07,0.4570568057607422,583.0006000000005,583.050943030303,8.635159260973105e-5,0.056820676,0.4002361297607422,0.064292802,0.06146264699999999,253,242,1517,70,45,,,,,
vf,kpp5-n40-r35-d25-m20-08,0.26410560463049315,524.0005705882357,524.0005705882357,0.0,0.058834599,0.20527100563049316,0.059856023999999994,0.05775543100000002,172,157,821,70,45,,,,,
vf,kpp5-n40-r35-d25-m20-09,0.39192272851708987,683.7505250000006,683.7505250000006,0.0,0.034768836,0.35715389251708984,0.052728933000000006,0.05072381699999999,151,142,1695,70,45,,,,,
vf,kpp5-n40-r35-d25-m20-10,0.38794593685754397,597.0005000000002,597.0005000000002,0.0,0.094298886,0.29364705085754395,0.08043071900000001,0.07695395600000005,282,269,773,70,45,,,,,
vf,kpp5-n40-r45-d25-m20-01,0.9834563461715088,678.375787499999,678.375787499999,0.0,0.008711311,0.9747450351715088,0.11365589599999995,0.10870580699999999,395,378,1298,78,57,,,,,
vf,kpp5-n40-r45-d25-m20-02,6.333914505595215,552.0006000000017,552.0006000000017,0.0,0.020675408,6.313239097595215,0.3456137059999999,0.3296025729999996,1098,1071,7092,78,57,,,,,
vf,kpp5-n40-r45-d25-m20-03,0.2804952846685791,780.6296516129028,780.6296516129028,0.0,0.03977239,0.2407228946685791,0.049489000999999984,0.04750665,139,133,1070,78,57,,,,,
vf,kpp5-n40-r45-d25-m20-04,0.4680236032833252,678.6005399999997,678.6088624666183,1.2264161503121125e-5,0.019278591,0.4487450122833252,0.06705345400000001,0.06350303499999997,242,229,1338,78,57,,,,,
vf,kpp5-n40-r45-d25-m20-05,3.9467788309211427,687.500699999999,687.5378451653005,5.402927633596219e-5,0.036320743,3.9104580879211426,0.18282385200000012,0.17515383499999998,495,480,10036,78,57,,,,,
vf,kpp5-n40-r45-d25-m20-06,32.08621246533899,912.0008999999982,912.0898592504749,9.75429415439232e-5,0.051398346,32.03481411933899,0.5057203410000006,0.4817728819999999,1405,1387,31493,78,57,,,,,
vf,kpp5-n40-r45-d25-m20-07,9.950770771031495,705.5006500000005,705.5616701754387,8.649201873622084e-5,0.04416362,9.906607151031494,0.3497012509999997,0.33083241700000016,1182,1172,14575,78,57,,,,,
vf,kpp5-n40-r45-d25-m20-08,5.773406895499634,703.0006999999987,703.0411081632657,5.747954911992075e-5,0.021775874,5.751631021499634,0.28497624199999977,0.27278687499999993,812,795,10275,78,57,,,,,
vf,kpp5-n40-r45-d25-m20-09,1.148980013239502,594.0006500000004,594.0006500000004,0.0,0.041839949,1.107140064239502,0.133754995,0.12794829700000007,456,439,2054,78,57,,,,,
vf,kpp5-n40-r45-d25-m20-10,96.77811324087659,774.500649999999,774.5702727768521,8.989376168124102e-5,0.036076183,96.74203705787659,0.655959539,0.6230282170000004,1684,1668,94197,78,57,,,,,
vf,kpp5-n40-r55-d05-m20-01,8.378251387592652,1053.0009000000025,1053.0720809126346,6.759814985167053e-5,0.001837327,8.376414060592651,0.7128029929999998,0.6918879839999988,1239,1224,6448,86,69,,,,,
vf,kpp5-n40-r55-d05-m20-02,2.4873947084971926,962.9638148148128,963.0325962582347,7.142682036815674e-5,0.045853752,2.4415409564971924,0.294444969,0.2854268029999998,558,546,1261,86,69,,,,,
vf,kpp5-n40-r55-d05-m20-03,1.9223324581739503,1172.6674714285732,1172.6674714285732,0.0,0.016403608,1.9059288501739502,0.3728441569999994,0.3618688069999997,641,629,1696,86,69,,,,,
vf,kpp5-n40-r55-d05-m20-04,185.1726415096637,1063.0009000000014,1063.1001846518475,9.34003459885303e-5,0.01498937,185.1576521396637,2.3186728699999994,2.1303883480000017,4716,4704,48996,86,69,,,,,
vf,kpp5-n40-r55-d05-m20-05,0.6941818290631103,1045.313312500002,1045.313312500002,0.0,0.02571693,0.6684648990631104,0.12687279999999987,0.121548678,299,290,1142,86,69,,,,,
vf,kpp5-n40-r55-d05-m20-06,1.4421555463833007,965.9846161290366,965.9846161290366,0.0,0.041218466,1.4009370803833008,0.16811623999999994,0.16135661999999995,413,399,953,86,69,,,,,
vf,kpp5-n40-r55-d05-m20-07,0.7729402233374023,1107.4677066666695,1107.4677066666695,0.0,0.032165115,0.7407751083374023,0.06965568100000001,0.067029703,161,153,768,86,69,,,,,
vf,kpp5-n40-r55-d05-m20-08,0.3001777344752197,1120.6677000000004,1120.6677000000004,0.0,0.077181738,0.22299599647521973,0.07795869699999997,0.07505904199999999,172,167,328,86,69,,,,,
vf,kpp5-n40-r55-d05-m20-09,0.38853475329797366,1005.1184176470608,1005.2158384870577,9.692473870383898e-5,0.022608726,0.36592602729797363,0.060059730000000006,0.05746711900000001,155,149,1036,86,69,,,,,
vf,kpp5-n40-r55-d05-m20-10,1.4347357089056396,1110.0012999999997,1110.1079556101704,9.608602275575647e-5,0.08250969,1.3522260189056396,0.17776101800000005,0.17221934599999994,309,302,3304,86,69,,,,,
vf,kpp5-n40-r55-d15-m20-01,42.4584834518562,1072.5010166666686,1072.5806895593366,7.428700899101185e-5,0.002280468,42.4562029838562,0.6167514689999998,0.5893793309999993,1496,1486,35053,86,69,,,,,
vf,kpp5-n40-r55-d15-m20-02,4.6245141339177245,955.2511250000036,955.2511250000036,0.0,0.024354012,4.600160121917725,0.3704610920000002,0.35420306300000026,836,826,5146,86,69,,,,,
vf,kpp5-n40-r55-d15-m20-03,60.01535618960986,946.0007333333347,946.0756079415773,7.914857315052164e-5,0.021264202,59.99409198760986,1.0818148979999986,1.0337428859999995,2329,2315,32977,86,69,,,,,
vf,kpp5-n40-r55-d15-m20-04,126.47688719173804,913.0009499999991,913.0920758099005,9.980910742910803e-5,0.010683979,126.46620321273804,1.4139727010000032,1.2660996820000001,3592,3582,46575,86,69,,,,,
vf,kpp5-n40-r55-d15-m20-05,15.514434360883302,1052.4007866666684,1052.5017697892615,9.595500485414539e-5,0.059786343,15.4546480178833,0.4758120559999999,0.45552886599999937,1026,1012,26264,86,69,,,,,
vf,kpp5-n40-r55-d15-m20-06,4.778038690350586,812.1506383333277,812.1506383333277,0.0,0.008089731,4.769948959350586,0.32018009899999983,0.30927817099999955,682,670,5802,86,69,,,,,
